Emotion,keywords
joy,quot    school literally sucking life me c:quot
joy,lifes greatest moments finds his/her true talent  sad moment u realise sleeping 
joy,think twice rides ride  good time 
joy,remember highly amused rendering young rook s cry whilst gobbling worm : perfectly true nature 
sadness,  coming italy live concert you
sadness,sky blue sun shine okay fall apart #everythingwillgetbetter
anger,bought dinner homeless lady amp gave money feed cat fuck situation possible western europe
joy,snow colder gets closer ice
sadness,miss boytoy :( cant function :(
fear,told 
anger,prosecutors clearly miffed businessman changed statements given investigation case 
anger,yes  fill form  emergency room 
joy,taking xmas photos today family
sadness,pissed off looking 4ward buying kate bushs new album preordered cancel cos 1/2 needs £
joy,rules world truth grace #jesus
sadness,greatest cause prince s despondency feeling served useful purpose 
joy,18th birthday passed drivingtest glad study much lucky  proof difficult  everybody passed test
joy,work like 9 hours black friday hollister employee
joy,unbelievably exciting day laundry grease removal
neutral,oh  
surprise,rain state college #notreally
surprise,good thing dress appropriately came visit baby family
surprise,zometeen een moeder verrassen met een totaal arrangement: kleurenanalyse style amp makeup advies en personal shoppen #zinin
neutral,told u #afraid good reason enter day #fearless #confidence
joy,rain home rain
disgust,  word yes nearly vomited windscreen heard rado
sadness,sure happened cover agenda ripped off cover like half gone too
joy,god quoteye stormquot find peace calmness quietness faith speak quotpeace still jesusquot #divaew
anger,lissa hated cold incisiveness tone  angry caring 
sadness,apparently 10 people year die vending machinesit proves humans die easily
surprise,maken met ons bedrukte #karton en #dubbelzijdigplakfolie ben je al een heel eind op weg
fear,process spotting refusing obey source true #empowerment martha beck
anger,mom  ill wear helmet ill drive sane  promise 
fear,cellphone commercial term quotselfawarequot
sadness,nicky looked crestfallen dare argue constance mood 
disgust,finished watching food inc uproar way monsanto controls seeds
joy,baby cant kick anymore :( getting big jabs feet ribs :)
neutral,okay  ask direct 
anger,naaaah im asleep day off lot carry shouting house other
anger,ppl grieve different waysmine happen
shame,people embarrassed talking sex 
anger,father failed send transport money closure school
sadness,pret manger license opposite money
joy,  throat sore nose running lol ive got animation
surprise,guess were ap lit today nothing
joy,favorite sister rt   bogue chitto bound broke cruise control
joy,time year   # love xmas #wayfareholidayparty
anger,stranger district  coming brow hill  stopped astonished little peeved ploughman s lane lying beneath 
joy,clive attended  visibly gleeful spared school undesirable publicity unloading nick time 
neutral,ok 
joy,work bangjust finished ready 12 hour day teaching tomorrow :/
joy,finally watch glee tomorrow omg
sadness,rileys asleep bedi excited im torn hes growing fast
neutral,im afraid 
joy,assignments friday terrible grades classes im going fail finals
surprise,nem queria ir á escola amanhã mais terá pro léo e eu já paguei bora aproveitar dim dim né
sadness,im sorry 
fear,woke middle night dream nightmare unintelligible dream wich woke certain end
sadness,putting decorating house christmas tomorrow grade papers write lesson plans tonight
surprise,jai découvert que les gros bolos de classe super geeks et coincés ne buvaient pas dalcool
sadness,aint truth rt   miss football season aca :/
joy,found hate charlie brown me soulmate   yes
joy, katherine  told pleased shall going school valois frequently 
surprise,ben zooo bang dat ik een hint eruit heb laten vallen ofzo echt iets voor mij
sadness,jane moss said yesterday double heartbreak daughter s death murder mum 11 years ago want care needy 
disgust,saved $70 bucks blu ray dvds walmart ) love black friday
neutral,whos old lady trimming trees 
anger,disappointed angry bad quality documentay program tv opinion topic important program seriousness consideration
joy,  im literally shaking   concert going highlight year #psychedoutofmymind
joy,midnight christmas music go
joy,impressive  use internet phone 
disgust,mean girls 2 stupidest movie ever qualified movie
sadness,dog years died watched soporification
joy,love making people happy
surprise,rihanna amp chris brown head head againoh shit rihanna #surprise lol
fear,boyfriend gonna kill awesome driving
joy, amid great excitement  mother  guests drank wine laughed loudly spoiled pam 
sadness,got tired lms ish facebook sthu u need attention bad
joy,donna excited 
joy,met friends seen long time
joy,finished paper ended 1700 words total :) happy it
fear,war cia alarmed leftwing british governments  politicians regards friends moscow 
sadness,damn lions cant faithful
joy,’ better  
sadness,denning family feel sad  sharpness thriving  ll busy port 
sadness,exboyfriend separated
joy,manufacturers play excitement commentary sell sets 
fear,wat du fink success sucks stressi guess blew quicksuccessjay z
joy,morning tweeps beautiful day amazing city ours 1 day till weekend
joy,went pub large group friends drank danced
surprise,  haha sabaw na nga pero masarap pa den   teh eto yung sinsabi ko time hehe
fear,#doubt #hate knocks door remember answer #fb
joy,u seduced instant temporary + expect 2 serve experience 2 u u r far #truepower #wakeup #leader #in
surprise,sitting jurneeeeee shes sweet coming surgery #inlovewithher
fear,unknown changes replace #stability familiarity ambiguity uncertainty #leaders #jo #amman #reformjo #jordan
sadness,sorry  dialed wrong number 
sadness,seen message bottlegood #crying #needadog
anger,  fuck old school shouldnt allowed tv
sadness,deeply depressed  felt guilty depression 
sadness,damn knew :( wanna fall cus pic up trying hard to
fear,watching greasy reesey naughty marky mark tonight
joy,      staff party sun bodega totally come bastyan too useless
joy,  blessed you rt   2012 line camp leader blessed happy #baylor #sicem #linecamp
surprise,headphones officially broken guess means roommates going subjected music netflix  #idontcare
sadness,looked utterly desolate thirtyeight years  cheeks sag jawline looked heavy 
surprise,twitter changgedddd screwed head little
fear,finding eternity arouses reactions freeing excellence affects reality
joy,worked lawyers office summer got good reference him
surprise,zo naar school gelukkig vroeg vrij wel een hele drukke middag #staluitmesten #verslagenmaken
fear,think dangerous  cant turn 
fear,years protected seed time beautiful flower~sc paul
sadness,philippa thought  news benefits king  brings sorrow rest 
joy,leaving 4 amnine hours car guess gets back #thisgirl
fear,considerable public disquiet  bugger parkhurst panicked entire country  going lie low  
fear,  khans guno knocked  boating sign
fear,commercial ethic meant deterioration standards  cutbacks overseas news department  glories bush house  caused dismay public communications world 
anger,’ sure especially bad  word unpleasant 
fear,saw   pitkin earlier today n crossed da street saw
sadness, sense sad   writer remembers 
sadness,friend pass high school graduation examinations
joy,god major life know ive come way christian walk  #struggle #faith #power #newlove
joy,lectures sensed unexpressed understanding boy know exchange glances  think likes me like too fallen love 
fear, ’ understand  need tomorrow morning  accidentally spilled beer wife ’ dress wedding attend tomorrow  ’ gonna kill 
surprise,police found exhausted pensioner bewildered roadside 
anger,verdict monday  indignant cannes president alain pedretti described  scandalous  
fear,seeing look dismay mother s face  tamar continued   wo nt telling lie 
fear,često zamišljam taj dan ali sve više udaljava od istog
anger,think   cant believe way boss ordering lately  mean  like ceo  
joy,voice update: voice developed ugly man whisper
joy,mums ranting sort gibberish rt   dads ranting punjabi
surprise,lmao rt   wtf damn near super model think money lol
sadness,rained night long feeling people places like diepsloot drains life miserable
joy,spending day bed sick cat
surprise,goedemorgen allemaal straks lieve sint begeleiden naar de school van mijn dochtertje :) zij weet van niets :)
fear,false evidence appearing real
surprise,lots nice things today meeting old colleague new place work tops :)
disgust,honey dont look cute chest hangin  maybe nest time find shirt fits
sadness,grandmother passed away 
joy,24 hrs employed actor  unemployed actor  employed actor  unemployed actor salesman  
sadness,tony looked happy  said somewhat despondent lack progress finding employment 
neutral,shivering 
anger,  differ good sir hate took truck
joy,thanks  lets decide suits looks best occasion 
joy,esta sonando creo que en vez de ir la voy venir la apple store de fiesta oo
sadness,looked phoebe anguished expression nearly honest repentance 
neutral,coffee shop round corner  big building end road 
